,Open,High,Low,Close,log_Open,log_High,log_Low,log_Close,log_return_Open,log_return_High,log_return_Low,log_return_Close
Open,1.0,0.9998791523034426,0.999830204894507,0.9996991145274041,0.991238086941757,0.9911070164701626,0.9912216733239789,0.9910202053038487,0.020667896160330868,0.014499753834511865,0.010141465406741972,0.0013472473271168251
High,0.9998791523034426,1.0,0.999787318674074,0.9998599068711101,0.9911555309046246,0.9912832362692549,0.9912052647401457,0.9912291587195314,0.018251045315577752,0.020073236419544085,0.012534894830467115,0.009663448787753116
Low,0.999830204894507,0.999787318674074,1.0,0.9998665628906119,0.990838303743775,0.9907747248533834,0.9911754631305351,0.990960483683254,0.022589653462783015,0.020687729938121645,0.020324795186707413,0.012725258685550045
Close,0.9996991145274041,0.9998599068711101,0.9998665628906119,1.0,0.9908335476547236,0.9909936274953113,0.9911562562058931,0.9912333252087301,0.019768752369350193,0.024548662178461033,0.020350890944819542,0.020818691136257454
log_Open,0.991238086941757,0.9911555309046246,0.990838303743775,0.9908335476547236,1.0,0.9998473217051631,0.9997968881448214,0.9996490459422801,0.022062140225089878,0.014478786049120096,0.010195261427302064,0.00022623819261554864
log_High,0.9911070164701626,0.9912832362692549,0.9907747248533834,0.9909936274953113,0.9998473217051631,1.0,0.9997068011556797,0.9998296929953157,0.019387958288899713,0.02110507619654975,0.012824179492661745,0.009743279056291772
log_Low,0.9912216733239789,0.9912052647401457,0.9911754631305351,0.9911562562058931,0.9997968881448214,0.9997068011556797,1.0,0.99982500204355,0.02466884540920569,0.02179114913688166,0.02186272246634282,0.013165705683584938
log_Close,0.9910202053038487,0.9912291587195314,0.990960483683254,0.9912333252087301,0.9996490459422801,0.9998296929953157,0.99982500204355,1.0,0.02130598378924646,0.026350573604423302,0.02172677020639175,0.022507330263223334
log_return_Open,0.020667896160330868,0.018251045315577752,0.022589653462783015,0.019768752369350193,0.022062140225089878,0.019387958288899713,0.02466884540920569,0.02130598378924646,1.0,0.7111608020180842,0.7222318623166328,0.28293777350646443
log_return_High,0.014499753834511865,0.020073236419544085,0.020687729938121645,0.024548662178461033,0.014478786049120096,0.02110507619654975,0.02179114913688166,0.026350573604423302,0.7111608020180842,1.0,0.6939193402547317,0.7016106859226885
log_return_Low,0.010141465406741972,0.012534894830467115,0.020324795186707413,0.020350890944819542,0.010195261427302064,0.012824179492661745,0.02186272246634282,0.02172677020639175,0.7222318623166328,0.6939193402547317,1.0,0.6933034057283388
log_return_Close,0.0013472473271168251,0.009663448787753116,0.012725258685550045,0.020818691136257454,0.00022623819261554864,0.009743279056291772,0.013165705683584938,0.022507330263223334,0.28293777350646443,0.7016106859226885,0.6933034057283388,1.0
