,nifty50_monthly_return,sp500_monthly_return,gold_monthly_return,brent_monthly_return,usd_inr_monthly_change,log_return_nifty50_close,log_return_sp500_close,log_return_gold_close,log_return_brent_close,log_return_usd_inr_close,log_nifty50_monthly_return_shifted,log_sp500_monthly_return_shifted,log_gold_monthly_return_shifted,log_brent_monthly_return_shifted,log_usd_inr_monthly_change_shifted
nifty50_monthly_return,1.0,0.4922021372964817,0.06627323318521668,0.20324985657351918,-0.5135096438946792,0.9982047765070253,0.4902388669208486,0.06736510166986326,0.24407435146219386,-0.5153478079855583,0.9988575343099169,0.490436215989883,0.06724260875499746,0.22595021787909508,-0.5152491234298644
sp500_monthly_return,0.4922021372964817,1.0,0.21810144683571903,0.5305420437420969,-0.4445190302895699,0.4996873020100473,0.999509496684361,0.2226986480907155,0.5341264924824841,-0.4424860622330178,0.4983751597956788,0.999611912150922,0.22223276582428686,0.5342593185772315,-0.442629310856072
gold_monthly_return,0.06627323318521668,0.21810144683571903,1.0,0.29301612956894174,-0.29255364258763655,0.07044472966651343,0.21987343422839561,0.9995540545865221,0.283422218873595,-0.2896471173551061,0.06969682288663308,0.2197077902121411,0.9996450697629795,0.28957947005416457,-0.2898491691449841
brent_monthly_return,0.20324985657351918,0.5305420437420969,0.29301612956894174,1.0,-0.29342109255927457,0.22677643247246831,0.5372343316927058,0.2981880828650161,0.9896664636092427,-0.28953227202923587,0.2220718447227323,0.5365183181854437,0.2976777115253702,0.9967307442603024,-0.28979255419329375
usd_inr_monthly_change,-0.5135096438946792,-0.4445190302895699,-0.29255364258763655,-0.29342109255927457,1.0,-0.5188906010634459,-0.4477529629058325,-0.30102010416868547,-0.2997612140669332,0.9996905195398936,-0.5181151201202913,-0.44743107173735647,-0.3001142603727606,-0.2980741347207754,0.9997275530865634
log_return_nifty50_close,0.9982047765070253,0.4996873020100473,0.07044472966651343,0.22677643247246831,-0.5188906010634459,1.0,0.49880334302053986,0.07178117217070909,0.27284170881117265,-0.5203930040536839,0.9999261377391042,0.4988799171877603,0.0716343827939225,0.2524017942786301,-0.5203156112706447
log_return_sp500_close,0.4902388669208486,0.999509496684361,0.21987343422839561,0.5372343316927058,-0.4477529629058325,0.49880334302053986,1.0,0.22455148251420792,0.5423456570289278,-0.44564729871068565,0.49727521308063005,0.999993996361861,0.22407744006839644,0.5418273872606828,-0.4457952799383165
log_return_gold_close,0.06736510166986326,0.2226986480907155,0.9995540545865221,0.2981880828650161,-0.30102010416868547,0.07178117217070909,0.22455148251420792,1.0,0.28808577022965126,-0.2979728847920058,0.07099069922518397,0.22437799957520188,0.9999947980265922,0.2944873633430746,-0.29818391203841876
log_return_brent_close,0.24407435146219386,0.5341264924824841,0.283422218873595,0.9896664636092427,-0.2997612140669332,0.27284170881117265,0.5423456570289278,0.28808577022965126,1.0,-0.2958331588999558,0.2670393770266451,0.5414491474523176,0.28762782903263023,0.9979710364453891,-0.29609603275203705
log_return_usd_inr_close,-0.5153478079855583,-0.4424860622330178,-0.2896471173551061,-0.28953227202923587,0.9996905195398936,-0.5203930040536839,-0.44564729871068565,-0.2979728847920058,-0.2958331588999558,1.0,-0.5196834747992356,-0.4453331923130786,-0.29708221469764157,-0.29415003309582843,0.999998818795193
log_nifty50_monthly_return_shifted,0.9988575343099169,0.4983751597956788,0.06969682288663308,0.2220718447227323,-0.5181151201202913,0.9999261377391042,0.49727521308063005,0.07099069922518397,0.2670393770266451,-0.5196834747992356,1.0,0.4973760319300422,0.07084810665901502,0.2470860306139957,-0.5196019074425575
log_sp500_monthly_return_shifted,0.490436215989883,0.999611912150922,0.2197077902121411,0.5365183181854437,-0.44743107173735647,0.4988799171877603,0.999993996361861,0.22437799957520188,0.5414491474523176,-0.4453331923130786,0.4973760319300422,1.0,0.22390474661509868,0.5410084201202905,-0.44548066714425233
log_gold_monthly_return_shifted,0.06724260875499746,0.22223276582428686,0.9996450697629795,0.2976777115253702,-0.3001142603727606,0.0716343827939225,0.22407744006839644,0.9999947980265922,0.28762782903263023,-0.29708221469764157,0.07084810665901502,0.22390474661509868,1.0,0.2940043586099207,-0.297292276241521
log_brent_monthly_return_shifted,0.22595021787909508,0.5342593185772315,0.28957947005416457,0.9967307442603024,-0.2980741347207754,0.2524017942786301,0.5418273872606828,0.2944873633430746,0.9979710364453891,-0.29415003309582843,0.2470860306139957,0.5410084201202905,0.2940043586099207,1.0,-0.2944126856004175
log_usd_inr_monthly_change_shifted,-0.5152491234298644,-0.442629310856072,-0.2898491691449841,-0.28979255419329375,0.9997275530865634,-0.5203156112706447,-0.4457952799383165,-0.29818391203841876,-0.29609603275203705,0.999998818795193,-0.5196019074425575,-0.44548066714425233,-0.297292276241521,-0.2944126856004175,1.0
