,nifty50_close,sp500_close,gold_close,brent_close,usd_inr_close,nifty50_monthly_return,sp500_monthly_return,gold_monthly_return,brent_monthly_return,usd_inr_monthly_change,us_cpi_index,us_unemployment_rate,us_fed_funds_rate,us_10y_yield,crude_price,DHHNGSP,DGS10,bse_close
nifty50_close,1.0,0.9908011880238835,0.8860484566776194,0.035342685233144204,0.9347678063934469,0.055424888161258366,-0.21452963463931077,-0.18930102176580726,-0.4282111935364274,0.1886268402588601,0.9898375403195385,-0.820758569805785,0.8752143334472502,-0.15024788190068025,0.45139658381787917,-0.10067971653383784,-0.3692173864159311,0.9922168906586343
sp500_close,0.9908011880238835,1.0,0.899707372943872,0.02014033706661075,0.9533275470855795,0.04478156632537221,-0.21727607419214567,-0.2116168322368677,-0.4382615314310949,0.20698886995551957,0.9852672267230308,-0.8326559121685887,0.8276516102466606,-0.23931374359541308,0.46682564326562903,-0.11331492324487406,-0.4078793792494918,0.9752312367006537
gold_close,0.8860484566776194,0.899707372943872,1.0,0.1430745449994237,0.7999342718577898,0.025684872397847374,-0.189167382418791,-0.09340436545229747,-0.39379205452193605,0.2017399600428043,0.8821288391818854,-0.630171672025174,0.7441803377383412,-0.14297916346763664,0.45205443399000506,-0.0879169586384802,-0.33927116110891903,0.8655049688340792
brent_close,0.035342685233144204,0.02014033706661075,0.1430745449994237,1.0,-0.007379485556682575,0.002954292271111198,-0.0839709739688204,-0.17755144417708268,-0.07387775847872668,0.1449930180688269,0.08210569349124933,-0.05901447222414472,0.05336073574489068,0.03507825731512918,0.5550051520296495,0.15850769815968943,-0.10245979037498046,0.05208395385759396
usd_inr_close,0.9347678063934469,0.9533275470855795,0.7999342718577898,-0.007379485556682575,1.0,0.02468751606793367,-0.29335340041439606,-0.30514062505290146,-0.5237168444619125,0.27114176572679854,0.9594291735364565,-0.9136027821603665,0.7878236282160181,-0.40794953066048883,0.5128135209513205,-0.1491010601563877,-0.495592849627034,0.9051602069942656
nifty50_monthly_return,0.055424888161258366,0.04478156632537221,0.025684872397847374,0.002954292271111198,0.02468751606793367,1.0,0.4922021372964817,0.06627323318521668,0.20324985657351918,-0.5135096438946792,0.02751441396794267,0.03450655377238296,0.008109062459912166,-0.0546178991711965,0.02660687496938566,-0.005765576434216163,-0.026604969005308468,0.05291378755340443
sp500_monthly_return,-0.21452963463931077,-0.21727607419214567,-0.189167382418791,-0.0839709739688204,-0.29335340041439606,0.4922021372964817,1.0,0.21810144683571903,0.5305420437420969,-0.4445190302895699,-0.25120808386925314,0.36996007513890566,-0.16073761805960285,0.23027452855231748,-0.24214254284060688,-0.010011274434547458,0.22025279077694535,-0.19501873899577835
gold_monthly_return,-0.18930102176580726,-0.2116168322368677,-0.09340436545229747,-0.17755144417708268,-0.30514062505290146,0.06627323318521668,0.21810144683571903,1.0,0.29301612956894174,-0.29255364258763655,-0.22354371221131372,0.37776226420771963,-0.09100390214484211,0.3667625269314518,-0.3295642686358885,0.026980249756871667,0.292124917272802,-0.16145863186206055
brent_monthly_return,-0.4282111935364274,-0.4382615314310949,-0.39379205452193605,-0.07387775847872668,-0.5237168444619125,0.20324985657351918,0.5305420437420969,0.29301612956894174,1.0,-0.29342109255927457,-0.4688851873003605,0.5990622654323755,-0.3865504557221786,0.36001534736660773,-0.38774560703006355,0.08248065787824747,0.3649842227687357,-0.3876094923404413
usd_inr_monthly_change,0.1886268402588601,0.20698886995551957,0.2017399600428043,0.1449930180688269,0.27114176572679854,-0.5135096438946792,-0.4445190302895699,-0.29255364258763655,-0.29342109255927457,1.0,0.22275569720380328,-0.2626178819150813,0.14235280530090202,-0.21124337743174937,0.2443759818103574,-0.03686793231492041,-0.19967678207228143,0.17607122497461852
us_cpi_index,0.9898375403195385,0.9852672267230308,0.8821288391818854,0.08210569349124933,0.9594291735364565,0.02751441396794267,-0.25120808386925314,-0.22354371221131372,-0.4688851873003605,0.22275569720380328,1.0,-0.8465923197817707,0.8789513709431527,-0.1997000472530506,0.4961719395772061,-0.10529931650214423,-0.40249882848409324,0.9809503263191224
us_unemployment_rate,-0.820758569805785,-0.8326559121685887,-0.630171672025174,-0.05901447222414472,-0.9136027821603665,0.03450655377238296,0.36996007513890566,0.37776226420771963,0.5990622654323755,-0.2626178819150813,-0.8465923197817707,1.0,-0.7129445089734099,0.4357983995488018,-0.5461968326425353,0.13353719405646625,0.5085713175569371,-0.7788382103452337
us_fed_funds_rate,0.8752143334472502,0.8276516102466606,0.7441803377383412,0.05336073574489068,0.7878236282160181,0.008109062459912166,-0.16073761805960285,-0.09100390214484211,-0.3865504557221786,0.14235280530090202,0.8789513709431527,-0.7129445089734099,1.0,0.13406397687717783,0.35651779461470734,-0.1399851271303467,-0.2254025727750115,0.8824498095329764
us_10y_yield,-0.15024788190068025,-0.23931374359541308,-0.14297916346763664,0.03507825731512918,-0.40794953066048883,-0.0546178991711965,0.23027452855231748,0.3667625269314518,0.36001534736660773,-0.21124337743174937,-0.1997000472530506,0.4357983995488018,0.13406397687717783,1.0,-0.36791338703259574,0.16020655922599314,0.5439998159296763,-0.08851443367005281
crude_price,0.45139658381787917,0.46682564326562903,0.45205443399000506,0.5550051520296495,0.5128135209513205,0.02660687496938566,-0.24214254284060688,-0.3295642686358885,-0.38774560703006355,0.2443759818103574,0.4961719395772061,-0.5461968326425353,0.35651779461470734,-0.36791338703259574,1.0,0.3828309669191802,-0.5593918924313412,0.4234994225283352
DHHNGSP,-0.10067971653383784,-0.11331492324487406,-0.0879169586384802,0.15850769815968943,-0.1491010601563877,-0.005765576434216163,-0.010011274434547458,0.026980249756871667,0.08248065787824747,-0.03686793231492041,-0.10529931650214423,0.13353719405646625,-0.1399851271303467,0.16020655922599314,0.3828309669191802,1.0,-0.10275847710548579,-0.08371044233018736
DGS10,-0.3692173864159311,-0.4078793792494918,-0.33927116110891903,-0.10245979037498046,-0.495592849627034,-0.026604969005308468,0.22025279077694535,0.292124917272802,0.3649842227687357,-0.19967678207228143,-0.40249882848409324,0.5085713175569371,-0.2254025727750115,0.5439998159296763,-0.5593918924313412,-0.10275847710548579,1.0,-0.3266598855532144
bse_close,0.9922168906586343,0.9752312367006537,0.8655049688340792,0.05208395385759396,0.9051602069942656,0.05291378755340443,-0.19501873899577835,-0.16145863186206055,-0.3876094923404413,0.17607122497461852,0.9809503263191224,-0.7788382103452337,0.8824498095329764,-0.08851443367005281,0.4234994225283352,-0.08371044233018736,-0.3266598855532144,1.0
