year,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account
1991,26.1320914258645,1.05683143496063,270105341879.226,7.722,25.1405052782292,8.49424077053547,8.49348578059959,11.0787262464783,-1.58891131223691
1992,29.2124945523449,5.48239602040357,288208070278.013,7.733,27.44020415513,8.84292692502088,9.59017211680717,10.9150464795678,-1.55624498023457
1993,31.0607370914259,4.75077621776924,279295648982.529,7.75,22.716410511618,9.83421745486326,9.81732233160511,11.0026650353957,-0.67161886953087
1994,34.2438214116532,6.65892407028434,327274843459.429,7.645,26.3101665553988,9.8880849164454,10.1900594604801,10.43581347191,-0.512193818555587
1995,37.7452131691141,7.57449183788519,360281909643.489,7.608,29.1523371515588,10.8439680350622,12.0234806711877,10.5402675188309,-1.54413181166043
1996,41.1336584557082,7.54952224920051,392896866204.516,7.558,22.7592531809279,10.3851692716063,11.5443185997804,10.3308896774711,-1.51595497295367
1997,44.0805774514448,4.04982084998183,415867563592.829,7.61,25.6927329065132,10.690717318379,11.9286695486689,11.0287262034071,-0.713014326393887
1998,49.9128076740881,6.18441582172117,421351317224.941,7.639,24.9753699423901,11.0184691793102,12.6810008997545,11.9098898139839,-1.63832533358649
1999,52.2436461392705,8.84575555939531,458821052615.79,7.617,30.9580879683861,11.4520646128009,13.363533431492,12.1754896050679,-0.70354723219324
2000,54.3383216485078,3.84099115659129,468395521654.458,7.624,25.677316683955,12.9972363113479,13.9036865990995,11.9478354691139,-0.982342580017137
2001,56.3919261013738,4.82396626555771,485440139204.171,7.653,29.9078889827325,12.5583796339108,13.4348751195257,11.7614498890899,0.290495460210206
2002,58.815172903837,3.80397532112175,514939140318.756,7.753,30.2513001207186,14.2643839243147,15.2442790107467,11.3140950692424,1.37093793900847
2003,61.0535954523922,7.8603814759073,607700687237.318,7.68,30.8396999424416,14.9479138581734,15.6445222747346,10.8762099129119,1.44355773291234
2004,63.3536380862151,7.92293661199932,709152728830.775,7.625,35.0964917017773,17.8591249630479,19.6446890963991,10.4047023481415,0.110018010197153
2005,66.0438512553292,7.92343062148318,820383763511.445,7.552,37.4282640165983,19.6052466948335,22.3964229200356,10.3661401972455,-1.25350400207393
2006,69.8720985315016,8.06073257166651,940259888787.721,7.552,38.9985063717532,21.2679414221966,24.4565390770687,9.80247046783494,-0.988988302952292
2007,74.3249644718143,7.6608150670107,1216736438834.96,7.561,41.9507982267334,20.7996997489032,24.8865689304448,9.86211572842642,-0.663717648772609
2008,80.5305542396968,3.08669805921981,1198895139005.92,7.656,38.4224196528192,24.0973572601391,29.2708631790835,10.5384811563533,-2.58337749259837
2009,89.2941733775462,7.86188883286074,1341888016994.9,7.664,39.2567917551336,20.4005193743564,25.8723502685274,11.459667419691,-1.95146209111801
2010,100.0,8.49758470221235,1675615519484.96,7.652,39.7856241847736,22.4009332487945,26.8542732486216,11.0076078674499,-3.25348368945179
2011,108.911793364834,5.24131619937695,1823051829894.55,7.616,39.590421855219,24.5404113195713,31.0834686939585,11.0844615855594,-3.42928468606061
2012,119.235538897084,5.45638755166587,1827637590410.41,7.666,38.3474156730403,24.534430661418,31.2592910673332,10.6838562318127,-5.00488971805303
2013,131.18041028234,6.38610640094825,1856721507621.58,7.711,34.0231978997548,25.430861300519,28.4132706461587,10.2951601419598,-2.64566711733892
2014,139.924446113916,7.41022760508854,2039126479154.52,7.674,34.2678056268836,22.9679630081172,25.9542227389497,10.4408568081213,-1.33950896483452
2015,146.790501522574,7.99625378571471,2103588360044.94,7.631,32.1167301358276,19.8131891564045,22.1097247094602,10.4282907091862,-1.06754907167964
2016,154.054013105394,8.25630550179086,2294796885663.16,7.601,30.172690580036,19.1582349105946,20.9242508026814,10.3085480747222,-0.527880606037518
2017,159.18119775209,6.79538341897911,2651474262755.45,7.618,30.9821728344733,18.7917648392982,21.9507321152243,10.7671989547856,-1.43948820320988
2018,165.451068899504,6.45385134497769,2702929641648.74,7.652,32.3432182154485,19.9278285988562,23.6891407335327,10.8232185258548,-2.42697545810527
2019,171.621576003377,3.87143694070356,2835606256558.19,6.51,30.0961975685688,18.664264897257,21.2411386333872,11.0026755133718,-1.04961203910072
2020,182.988822584425,-5.77772470686801,2674851578587.27,7.859,28.9223840080659,18.6824769296756,19.0756283996012,11.6124524106018,1.22362111042791
2021,192.378724699015,9.68959249192875,3167270623260.47,6.38,32.1158221755014,21.3991583305515,24.0239304534931,10.4763782400684,-1.05524166809383
2022,205.266241146235,7.60936497768895,3346107287730.93,4.822,33.6192585388984,23.2515412045298,26.8237289453584,10.255037910793,-2.36247481487452
2023,216.862025027426,9.19075493028345,3638489096033.86,4.172,33.3623103638844,21.4486977833541,23.544144504402,10.3054222433801,-0.878262847208682
2024,227.603278134168,6.49476552383821,3909891533858.08,4.202,32.9141372549127,21.1618460520863,23.4874474548813,9.98882419189295,-0.82224320865487
